что,ингредиенты,сколько ?,сколько по факту нужно ,приблизительная цена,где купить ,"Белки, г","Жиры, г","Углеводы, г",каллорийность (100 г)
,Картофель вес,300 г,3 шт,"13,8",Akademshop,,,,
,Капуста белокочанная ,100 г ,100 г,3,Akademshop,,,,
,Морковь вес,200 г,2 шт,"8,4",Akademshop,,,,
,Лук Репчатый вес ,400 г,2 шт,"14,4",Akademshop,,,,
,Зеленый лук вес,100 г,50 г,42,Akademshop,,,,
,Шпинат Белая Дача 75 г, 1 шт,70 г,150,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,1 ст. л.,-,Akademshop,,,,
,Черешок сельдерея – 1 шт,,1 шт,34,Akademshop,,,,
,Лавровый лист – 2-3 шт,,2-3 шт,22,Akademshop,,,,
,Куриные яйца – 3 шт,10 шт ,3 шт,"24,3",Akademshop,,,,
Кекс с грушей и инжиром,,,,"721,05",,"4,6",9,"30,3",218
https://kalkulyator-kaloriy.ru/keks-s-grushey-i-inzhirom/,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,2 шт ,77,Akademshop,,,,
,Сахар Русский песок 1000г пл/пак,,3 ст. л. ,-,Akademshop,,,,
,Йогурт БЗМЖ Академ.хоз-во термостатный 3.4-4.5% ,300мл,2 ст. л.,62,Akademshop,,,,
,Мука Макфа Пшеничная в/с 1000г,1 кг,80 г,61,Akademshop,,,,
,Разрыхлитель Теста Приправыч,10 г,1 ч. л.,10,Akademshop,,,,
,Масло БЗМЖ ДВД Сливочное 72.5%  фольга,180г,40 г ,214,Akademshop,,,,
,Груша Конференция вес,100г,1 шт,"19,05",Akademshop,,,,
,Инжир Голдэн Микс отборный ,400г,1 шт,278,Akademshop,,,,
"Лосось, запеченный с лимоном в духовке",,,,"222,8",,"16,2","7,3","1,9","142,4"
https://kalkulyator-kaloriy.ru/losos-zapechennyy-s-limonom-v-duhovke/,Лосось производство охл.п/ф,1 шт,340 г,200,Akademshop,,,,
,Лимоны вес,1 шт ,3 - 4 ломтика,"15,6",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Масло Слобода подс.оливк.1.0 пл/б,,15 мл,-,Akademshop,,,,
Творожная запеканка с бананом в духовке,,,,"453,7",,9,"6,7","18,4",172
https://kalkulyator-kaloriy.ru/tvorozhnaya-zapekanka-s-bananom-v-duhovke/,Творог БЗМЖ Простоквашино Классический 5%,440 г   2 шт,350 г,162,Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,2 шт ,77,Akademshop,,,,
,Сахар Русский песок 1000г пл/пак,,3 ст. л. ,-,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,1 щепотка,-,Akademshop,,,,
,Крупа Манная Увелка,700 г, 4 ст. л.,70,Akademshop,,,,
,Бананы вес,100 г,1 шт,"12,7",Akademshop,,,,
,Сметана БЗМЖ Простоквашино 10% 315г пл/ст,1 шт (315 г),2 ст. л.,71,Akademshop,,,,
,Корица Kamis молотая,15 г ,2 щепотки,61,Akademshop,,,,
